numero_contrato,objeto,fornecedor_nome,orgao_nome,valor_global,prazo_vigencia_dias,score_anomalia,percentil_risco,nivel_risco,data_assinatura,detectado_em
33/2025,CONTRATAÇÃO DE SERVIÇO DE MÃO DE OBRA TERCEIRIZADA PARA A FUNECE - CAPITAL E INTERIOR,EUROSERV BUSINESS & NEGOCIOS TERCEIRIZADOS LTDA,31200001,8346632364.0,1826,-0.796925,100,ALTO,2025-05-20,2026-04-01 03:30:38.886382
005/2025,"Tem por objeto a contratação conjunta dos serviços de fornecimento de energia elétrica para todas as Unidades Consumidoras (Ucs) do Grupo A - alta tensão, grupamento composto de Ucs com fornecimento em tensão igual ou superior a 2,3 KV junto à Companhia Energética do Ceará - ENEL",COMPANHIA ENERGETICA DO CEARA - ENEL,42000000,1587487781.0,1826,-0.775283,99,ALTO,2025-05-15,2026-04-01 03:30:38.886382
180/2025,"CONSTRUÇÃO DO HRCS - HOSPITAL REGIONAL DO CENTRO SUL, NO MUNICÍPIO DE IGUATU - CE.",CONSORCIO SAUDE DO SERTAO,43200007,3125000000.0,1096,-0.773027,99,ALTO,2025-10-24,2026-04-01 03:30:38.886382
AEC 01/2025,"O presente acordo tem por objeto a cooperação entre as partes visando a cooperação técnica entre a OEI e Estado do Ceará, nos termos do Plano de Trabalho e aditivos que integram, para todos os fins legais, o presente acordo",ORGANIZACAO DOS ESTADOS IBERO - AMERICANOS,31000000,1128815865.0,1826,-0.768013,99,ALTO,2025-07-01,2026-04-01 03:30:38.886382
037/2025-ETICE-LINKS,CONTRATAÇÃO DE SERVIÇOS DE LINKS DE TRANSPORTES DE DADOS COM ACESSO À INTERNET PARA AS UNIDADES DA POLÍCIA CIVIL PELO PRAZO DE 60 MESES.,EMPRESA DE TECNOLOGIA DA INFORMACAO DO CEARA ETICE,10100002,837776442.0,1825,-0.764589,99,ALTO,2025-04-01,2026-04-01 03:30:38.886382
416/2025,"Contratação de empresa especializada na prestação de serviços de mão de obra terceirizada, em substituição aos contratos 394/2024, 518/2024 e 520/2024, cujos empregados sejam regidos pela CONSOLIDAÇÃO DAS LEIS TRABALHISTAS (CLT), para atender toda a REDE SESA.",MISSAO SERVICOS TECNICOS EIRELI ,24200004,7960099695.0,729,-0.759034,99,ALTO,2025-04-25,2026-04-01 03:30:38.886382
015/SCIDADES/2025,"Constitui objeto deste Contrato a execução de serviços para implantação de Sistemas Simplificados de Abastecimento de Água nos municípios de Acopiara, Assaré, Crato, Irauçuba, Massapê, Morada Nova, Tejuçuoca, Campos Sales, Barroquinha e Salitre, conforme as condições estabelecidas neste contrato, no Projeto Básico do edital e seus ANEXOS, com base na planilha orçamentária individualizada e em obediência aos anteprojetos, às especificações da Cagece e as Normas da ABNT, e na proposta do CONTRATADO.",CONSORCIO SSAA EM AREAS RURAIS,43000000,5370723758.0,730,-0.75852,99,ALTO,2025-12-04,2026-04-01 03:30:38.886382
CG Nº 053/2025,"CG Nº 053/2025 - UGP/PSJ III - 2ª Fase - O presente CONTRATO tem por objeto o apoio técnico e gerencial para implementação das ações de desenvolvimento rural sustentável e de fortalecimento da agricultura familiar do Estado do Ceará, conforme previstas no Acordo de Empréstimo nº 8986 ¿ BR e atividades detalhadas no Manual Operacional do Projeto de Desenvolvimento Rural Sustentável ¿ PDRS ¿ São José III ¿ 2ª Fase. O suporte técnico operacional parte do escopo do contrato será desenvolvido no âmbito dos seguintes projetos/ações de interesse estratégico do Governo do Estado do Ceará, através da SDA.",INSTITUTO AGROPOLOS DO CEARA,21000000,4966130886.0,729,-0.757751,99,ALTO,2025-04-01,2026-04-01 03:30:38.886382
172/2025,CONSTRUÇÃO DO HOSPITAL REGIONAL DO MACIÇO DE BATURITÉ - HRMB.,CONSORCIO HOSPITAL BATURITE,43200007,2557603390.0,913,-0.756726,99,ALTO,2025-10-03,2026-04-01 03:30:38.886382
013/SCIDADES/2025,"CLÁUSULA TERCEIRA ¿ DO OBJETO
3.1. O objeto do presente instrumento é a contratação de empresa para prestação de serviços contínuos a serem executados com dedicação exclusiva de mão de obra
terceirizada, regidos pela Consolidação da Leis Trabalhistas (CLT) para as categorias, condições e quantidades estabelecidas no edital e seus anexos.",LAR ANTONIO DE PADUA,43000000,345501024.0,1826,-0.75568,98,ALTO,2025-10-01,2026-04-01 03:30:38.886382
CONTRATO DE GESTÃO N° 009/2025,"O presente CONTRATO DE GESTÃO tem por objeto fomentar a capacitação, a
produção, a pesquisa e a difusão nas áreas de arte e cultura de acordo com as
diretrizes da Secretaria da Cultura do Estado do Ceará, para execução da
gestão do CENTRO DRAGÃO DO MAR DE ARTE E CULTURA.",INSTITUTO DRAGAO DO MAR,27000000,3915232042.0,730,-0.753916,98,ALTO,2025-04-01,2026-04-01 03:30:38.886382
APF 633070-57,"Contratação por instrumento (APF   633070-57  )  particular de compra e venda imóvel no Empreendimento no Programa Minha Casa Minha Vida -PMCMV na produção de  200 unidades habitacionais Residencial  Conjunto Palmeiras  no Município de  Fortaleza , com Aporte Complementar do Governo do Estado do Ceará.",CAIXA ECONOMICA FEDERAL,43000000,3726806615.0,747,-0.752642,98,ALTO,2025-05-13,2026-04-01 03:30:38.886382
38/2025,"O objeto do presente instrumento é a prestação de serviços de manutenção nível D (Depot), incluindo reparo e revisão geral, bem como o fornecimento de peças de reposição para todos os níveis, suprimentos necessários e documentação técnica para as aeronaves da fabricante AIRBUS HELICOPTERS, integradas à frota da CIOPAER/SSPDS, nas condições estabelecidas no Termo de Referência do processo e na proposta da CONTRATADA.",HELICOPTEROS DO BRASIL S A,10000000,3517348135.0,730,-0.751624,98,ALTO,2025-12-16,2026-04-01 03:30:38.886382
APF 631.973-35,"Contratação por instrumento (APF  631.973-35)  particular de compra e venda imóvel no Empreendimento no Programa Minha Casa Minha Vida -PMCMV na produção de 192(cento e noventa e dois), unidades habitacionais no Município de Crato , com Aporte Complementar do Governo do Estado do Ceará.",CAIXA ECONOMICA FEDERAL,43000000,3639750386.0,730,-0.75137,98,ALTO,2025-04-14,2026-04-01 03:30:38.886382
118/2025,"Restauração/Qualificação da Rodovia CE-257, Trecho: Salitre - Entroncamento CE-176 (Santa Quitéria), com extensão de 50,80 km .",CONSORCIO INFRARODOVIARIA CE-257,43200007,6868457516.0,599,-0.749741,98,ALTO,2025-06-24,2026-04-01 03:30:38.886382
APF 631562-61,"Contratação por instrumento  particular de compra e venda imóvel no Empreendimento Residencial Mirante da Serra I (APF 631562-61) no Programa Minha Casa Minha Vida -PMCMV na produção de  192 , unidades habitacionais no no Município de  Juazeiro do Norte  com Aporte Financeiro Complementar do Governo do Estado do Ceará.",CAIXA ECONOMICA FEDERAL,43000000,3238168735.0,730,-0.748325,98,ALTO,2025-05-13,2026-04-01 03:30:38.886382
056/2025,"CT Nº 056/2025 - UGP/PSJ III - 2ª Fase - Contratação de empresa especializada para a execução de obras civis, com fornecimento e instalações de materiais e equipamentos para implantação de 12 Sistemas de Abastecimento de Água, por lote, a serem executados em 11 municípios do Estado do Ceará",CONSORCIO NOVO SAO JOSE,21000000,2429250192.0,730,-0.746303,98,ALTO,2025-05-12,2026-04-01 03:30:38.886382
313/2025,"Serviços de avaliação educacional em larga escala para operacionalização de todos os procedimentos do Sistema Permanente de Avaliação da Educação Básica do Ceará - SPAECE, para as edições de 2025 a 2028.",UNIVERSIDADE FEDERAL DE JUIZ DE FORA,22000000,419000000.0,1461,-0.745983,98,ALTO,2025-07-28,2026-04-01 03:30:38.886382
11/2025 Baixa Tensão,"Contratação direta da concessionária Enel Ceará, responsável pelo fornecimento e distribuição de energia elétrica às unidades do DETRAN-CE atendidas em baixa e alta tensão, totalizando atualmente 199 postos (25 em alta tensão e 174 em baixa tensão), com possibilidade de expansão para fornecimento/ligação de novas unidades.",COMPANHIA ENERGETICA DO CEARA - ENEL,08200003,186945661.0,3652,-0.74587,97,ALTO,2025-11-27,2026-04-01 03:30:38.886382
011/SEINFRA/2025,Contratação de empresa especializada para implantação do VLT (Veículo Leve sobre Trilhos) Ramal Aeroporto - Castelão,CONSORCIO VLT AEROCASTELAO,08000000,1800000000.0,914,-0.745501,97,ALTO,2025-07-08,2026-04-01 03:30:38.886382
108/2025,"Restauração /  Qualificação da Rodovia CE-388, Trecho: Entroncamento CE-183 / BR-403 (B) (Varjota) - Entroncamento CE-176 / CE-257 (B) (Santa Quitéria) (39,51 km).",CONSTRUTORA SAMARIA LTDA,43200007,3606980847.0,599,-0.745441,97,ALTO,2025-06-06,2026-04-01 03:30:38.886382
023/2026,Serviços de Recuperação Funcional em Rodovias Sob a Jurisdição da SOP - Distritos Operacionais: Quixeramobim e Iguatu (Item 05).,CBC - CONSTRUTORA BATISTA CAVALCANTE LTDA,43200007,6556113999.0,546,-0.745107,97,ALTO,2026-02-13,2026-04-01 03:30:38.886382
116/2025,Conclusão da obra de Construção do Mercado Municipal de Barbalha - CE.,BWS CONSTRUCOES LTDA ME,43200007,2947506814.0,678,-0.74373,97,ALTO,2025-06-24,2026-04-01 03:30:38.886382
019/2026,Serviços de Recuperação Funcional em Rodovias Sob a Jurisdição da SOP - Distritos Operacionais: Limoeiro do Norte e Aracoiaba (Item 06).,CBC - CONSTRUTORA BATISTA CAVALCANTE LTDA,43200007,3740414676.0,546,-0.741586,97,ALTO,2026-02-20,2026-04-01 03:30:38.886382
CONTRATO DE GESTÃO N° 007/2025,"O presente CONTRATO DE GESTÃO tem por objeto fomentar a capacitação, a
produção, a pesquisa e a difusão nas áreas de arte e cultura de acordo com as
diretrizes da Secretaria da Cultura do Estado do Ceará, para execução da
gestão da ESCOLA PORTO IRACEMA DAS ARTES.",INSTITUTO DRAGAO DO MAR,27000000,2240040939.0,730,-0.741486,97,ALTO,2025-04-01,2026-04-01 03:30:38.886382
014/2026,Serviços de Recuperação Funcional em Rodovias Sob a Jurisdição da SOP - Distritos Operacionais: Crateús e Santa Quitéria (Item 03).,CBC - CONSTRUTORA BATISTA CAVALCANTE LTDA,43200007,3522254573.0,546,-0.741335,97,ALTO,2026-02-20,2026-04-01 03:30:38.886382
018/2026,Serviços de Recuperação Funcional em Rodovias Sob a Jurisdição da SOP - Distritos Operacionais: Itapipoca e Sobral (Item 02).,CONSORCIO E&J/ CONSTRAM,43200007,3521641474.0,546,-0.741335,97,ALTO,2026-02-23,2026-04-01 03:30:38.886382
021/2026,Serviços de Recuperação Funcional em Rodovias Sob a Jurisdição da SOP - Distritos Operacionais: Crato e Tauá (Item 04).,A.L. TEIXEIRA PINHEIRO,43200007,3265394224.0,546,-0.740583,96,ALTO,2026-02-12,2026-04-01 03:30:38.886382
001/SEINFRA/2026,"Contratação de empresa especializada em manutenção elétrica, mecânica e eletrônica, abrangendo a operação de sistemas, ações preventivas, intervenções corretivas e serviços eventuais sob demanda na Subestação de Alta Tensão (SE CTE 69 kV), Subestação de Distribuição em Média Tensão (SE 13,8 kV) e Sistema de Refrigeração e Climatização no Centro de Eventos do Ceará (CEC), com fornecimento de materiais de consumo e peças de reposição, utilizando instrumentos e ferramental próprio, nas condições estabelecidas no edital e seus anexos.",NORMATEL ENGENHARIA LTDA,08000000,167580144.0,1826,-0.740123,96,ALTO,2026-02-09,2026-04-01 03:30:38.886382
197/2025,EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO E PAVIMENTAÇÃO DE VIAS DE TRÂNSITO URBANO E RODOVIÁRIO COM O OBJETIVO DE PROMOVER A SEGURANÇA DE VEÍCULOS E PEDESTRES NO ESTADO DO CEARÁ - PROGRAMA SINALIZE - DISTRITO OPERACIONAL - REGIÃO METROPOLITANA.,INSTTALE ENGENHARIA LTDA,43200007,3650026386.0,539,-0.739576,96,ALTO,2025-12-09,2026-04-01 03:30:38.886382
179/2025,CONSTRUÇÃO DE UMA EEEP NO MUNICÍPIO DE MOMBAÇA - CE. CT 179/2025.,ZONA NORTE CONSTRU?OES LTDA -EPP,22000000,1698722897.0,852,-0.739473,96,ALTO,2025-04-24,2026-04-01 03:30:38.886382
11/2025,AQUISIÇÃO - SERVIÇOS DE TERCEIROS - TÉCNICOS PROFISSIONAIS - EEM DOUTOR JOÃO RIBEIRO RAMOS - SOBRAL - CREDE 6,ACE ASSESSORIA CONTABIL LTDA,22000000,3000.0,11110,-0.738576,96,ALTO,2025-08-01,2026-04-01 03:30:38.886382
200/2025,EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO E PAVIMENTAÇÃO DE VIAS DE TRÂNSITO URBANO E RODOVIÁRIO COM O OBJETIVO DE PROMOVER A SEGURANÇA DE VEÍCULOS E PEDESTRES NO ESTADO DO CEARÁ - PROGRAMA SINALIZE - DISTRITO OPERACIOL DO CRATO/CE.,CORAL CONSTRUTORA RODOVALHO ALENCAR LTDA,43200007,2748999787.0,539,-0.734838,96,ALTO,2025-12-10,2026-04-01 03:30:38.886382
046/2025,"CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA TRATADA E COLETA DE ESGOTO PARA AS MATRÍCULAS N° 00210.9, 01284.5, 39812.8, 02793.9, 03081.9, 01922.9, 01374.4, 54704.4 e 01600.1",SERVIÇO AUTONOMO DE AGUA E ESGOTO DE SOBRAL ,31200002,58389324.0,3652,-0.733584,96,ALTO,2025-11-27,2026-04-01 03:30:38.886382
190/2025,"Aquisição de Mobiliários de Sala de Aula para atender à Rede Pública Estadual de Ensino, de acordo com as especificações e quantitativos previstos no Termo de Referência. CT 190/2025.",EDM EMPRESA DISTRIBUIDORA DE MOBILIARIOS LTDA.,22000000,1782685000.0,730,-0.733494,96,ALTO,2025-05-05,2026-04-01 03:30:38.886382
06/2025,"Contratação de empresa na prestação de serviços de mão de obra terceirizada, cujos empregados sejam regidos pela CONSOLIDAÇÃO DAS LEIS TRABALHISTAS (CLT), para atender a necessidade das áreas técnicas administrativa e transporte da SSPDS.",SERVNAC FACILITIES LTDA,10000000,1758913703.0,730,-0.733494,96,ALTO,2025-04-28,2026-04-01 03:30:38.886382
11/2025 Alta Tensão,"Contratação direta da concessionária Enel Ceará, responsável pelo fornecimento e distribuição de energia elétrica às unidades do DETRAN-CE atendidas em baixa e alta tensão, totalizando atualmente 199 postos (25 em alta tensão e 174 em baixa tensão), com possibilidade de expansão para fornecimento/ligação de novas unidades.",COMPANHIA ENERGETICA DO CEARA - ENEL,08200003,33000000.0,3652,-0.733261,95,ALTO,2025-11-27,2026-04-01 03:30:38.886382
01/2026,"O objeto do presente instrumento é a prestação de serviços de manutenção padrão de 3º e 4º níveis com fornecimento de peças, troca padrão ou ¿standard¿ de todos os níveis, padrão em motores, módulos, acessórios e componentes dos modelos de fabricação SAFRAN, que equipam as aeronaves da CIOPAER, nas condições estabelecidas no Termo de Referência do processo e na proposta do CONTRATADO.",SAFRAN HELICOPTER ENGINES INDUSTRIA E COMERCIO DO BRASIL LTDA,10000000,1678177042.0,731,-0.732998,95,ALTO,2026-03-13,2026-04-01 03:30:38.886382
022/2025,"Execução de Serviços Remanescentes da Pavimentação da CE-267, no trecho: Entr. CE- 187/192/BR - 404 ((Novo Oriente) - Emaús - divisas CE/PI (18,70 km), no município de Novo Oriente - CE.",CONSORCIO OBRAS CEARA-JMV-CCS-SAMFER,43200007,1999460521.0,629,-0.732954,95,ALTO,2025-04-16,2026-04-01 03:30:38.886382
025/2026,Conclusão da Construção do Parque de Exposições de Quixeramobim - CE.,CONSORCIO PIO / R&S PARQUE EXPOSICAO,43200007,1797221354.0,671,-0.732203,95,ALTO,2026-03-06,2026-04-01 03:30:38.886382
CONTRATO DE GESTÃO N° 008/2025,"O presente CONTRATO DE GESTÃO tem por objeto fomentar a capacitação, a
produção, a pesquisa e a difusão nas áreas de arte e cultura de acordo com as
diretrizes da Secretaria da Cultura do Estado do Ceará, para execução da
gestão da BIBLIOTECA PÚBLICA DO ESTADO DO CEARÁ.",INSTITUTO DRAGAO DO MAR,27000000,1572619605.0,730,-0.732006,95,ALTO,2025-04-01,2026-04-01 03:30:38.886382
090/2025,"CT 090/2025 - DCP 004/2025 - O presente CONTRATO tem por objeto a participação na política de desenvolvimento rural sustentável e de fortalecimento da agricultura familiar do Estado do Ceará, por meio de serviços de apoio técnico e gerencial à implementação do PROJETO SERTÃO VIVO CEARÁ a serem desenvolvidos no âmbito da SDA/CE.",INSTITUTO AGROPOLOS DO CEARA,21000000,1590302187.0,730,-0.732006,95,ALTO,2025-09-25,2026-04-01 03:30:38.886382
205/2025,EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO E PAVIMENTAÇÃO DE VIAS DE TRÂNSITO URBANO E RODOVIÁRIO COM O OBJETIVO DE PROMOVER A SEGURANÇA DE VEÍCULOS E PEDESTRES NO ESTADO DO CEARÁ - PROGRAMA SINALIZE - DISTRITO OPERACIONAL - SOBRAL/CE.,CONSTRAM- CONSTRUÇÃO E ALUGUEL DE MÁQUINAS LTDA - EPP,43200007,2475185118.0,539,-0.730624,95,ALTO,2025-12-16,2026-04-01 03:30:38.886382
115/2025,CONCLUSÃO DA OBRA DE CONSTRUÇÃO DO PARQUE DE EXPOSIÇÕES NO MUNICÍPIO DE TAUÁ - CE.,DUPLO M CONSTRUTORA LTDA,43200007,1665755427.0,669,-0.730471,95,ALTO,2025-07-15,2026-04-01 03:30:38.886382
006/CIDADES/2025,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA GERENCIAMENTO, SUPERVISÃO, ACOMPANHAMENTO E ASSESSORIA TÉCNICA À SECRETARIA DAS CIDADES NA GESTÃO E CONTROLE, DOS DIVERSOS INSTRUMENTOS DE COMPETÊNCIA DA COORDENADORIA DE SANEAMENTO - COSAN, TAL COMO NA IMPLEMENTAÇÃO DA POLÍTICA ESTADUAL DE ABASTECIMENTO DE ÁGUA E ESGOTAMENTO SANITÁRIO.",CONSORCIO QUANTA/COMOL,43000000,1030743106.0,914,-0.728909,95,ALTO,2025-05-15,2026-04-01 03:30:38.886382
19/2025,"Oportunizar à população cearense a segunda etapa do Projeto Qualificar + Incluir para a Vida e o Trabalho, visando à qualificação profissional, inclusão sociodigital e inserção produtiva, com foco em emprego e renda.",INSTITUTO CENTRO DE ENSINO TECNOLOGICO,59000000,2308780362.0,546,-0.72862,94,ALTO,2025-09-10,2026-04-01 03:30:38.886382
004/2025,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR EM PROL DOS ALUNOS DA EEEP FRANCISCO PAIVA TAVARES, (CREDE 7 - CANINDÉ)",ASSOCIACAO COMUNITARIA DOS PEQUENOS TRABALHADORES RURAIS IPUEIRA DA VACA II,22000000,6457786.0,10957,-0.728133,94,ALTO,2025-05-12,2026-04-01 03:30:38.886382
261/2025,CONSTRUÇÃO DE UMA EEEP NO MUNICÍPIO DE CASCAVEL - CE.,FORTEKS ENGENHARIA E SERVICOS ESPECIAIS LTDA,22000000,1425482118.0,730,-0.727809,94,ALTO,2025-06-27,2026-04-01 03:30:38.886382
209/2025,CONSTRUÇÃO DE UMA EEM NO MUNICÍPIO DE JUAZEIRO DO NORTE (LAGOA SECA) - CE. CT 209/2025.,FORTEKS ENGENHARIA E SERVICOS ESPECIAIS LTDA,22000000,1424573713.0,730,-0.727809,94,ALTO,2025-05-06,2026-04-01 03:30:38.886382
CONTRATO DE GESTÃO N° 013/2025,"O presente CONTRATO DE GESTÃO tem por objeto fomentar a capacitação, a
produção, a pesquisa e a difusão nas áreas de arte e cultura de acordo com as
diretrizes da Secretaria da Cultura do Estado do Ceará, para execução da
gestão da ESCOLA DE GASTRONOMIA SOCIAL IVENS DIAS BRANCO -
EGSIDB.",INSTITUTO DRAGAO DO MAR,27000000,1428063008.0,730,-0.727809,94,ALTO,2025-04-01,2026-04-01 03:30:38.886382
02 / 2025,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS (PREGÃO)  PARA MERENDA DOS ALUNOS DA EEFM ALMIRANTE TAMANDARÉ, FORTALEZA (SEFOR 2)",OMEGA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,22000000,3199702.0,11110,-0.727531,94,ALTO,2025-05-09,2026-04-01 03:30:38.886382
203/2025,EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO E PAVIMENTAÇÃO DE VIAS DE TRÂNSITO URBANO E RODOVIÁRIO COM O OBJETIVO DE PROMOVER A SEGURANÇA DE VEÍCULOS E PEDESTRES NO ESTADO DO CEARÁ - PROGRAMA SINALIZE - DISTRITO OPERACIONAL - ITAPIPOCA/CE.,CONSTRUTORA E & J LTDA - ME,43200007,2399999995.0,539,-0.727382,94,ALTO,2025-12-17,2026-04-01 03:30:38.886382
022/2026,Serviços de Recuperação Funcional em Rodovias Sob a Jurisdição da SOP - Distrito Operacional: Região Metropolitana de Fortaleza (Item 01).,CONSTRUTORA SAMARIA LTDA,43200007,1776699712.0,549,-0.72665,94,ALTO,2026-03-02,2026-04-01 03:30:38.886382
207/2025,EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO E PAVIMENTAÇÃO DE VIAS DE TRÂNSITO URBANO E RODOVIÁRIO COM O OBJETIVO DE PROMOVER A SEGURANÇA DE VEÍCULOS E PEDESTRES NO ESTADO DO CEARÁ - PROGRAMA SINALIZE - DOS DISTRITOS OPERACIONAIS DA SOP: DISTRITO OPERACIONAL DE LIMOEIRO DO NORTE-CE.,CONSORCIO JAGUARIBE,43200007,2140989505.0,539,-0.725662,94,ALTO,2026-01-07,2026-04-01 03:30:38.886382
206/2025,EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO E PAVIMENTAÇÃO DE VIAS DE TRÂNSITO URBANO E RODOVIÁRIO COM O OBJETIVO DE PROMOVER A SEGURANÇA DE VEÍCULOS E PEDESTRES NO ESTADO DO CEARÁ - PROGRAMA SINALIZE - DISTRITO OPERACIONAL - ARACOIABA/CE.,CONSORCIO CLPT-BRIMAX,43200007,2069466488.0,539,-0.725171,93,ALTO,2025-12-23,2026-04-01 03:30:38.886382
228/2025,CONSTRUÇÃO DE UMA EEEP NO MUNICÍPIO DE PACAJUS- CE.,FORTEKS ENGENHARIA E SERVICOS ESPECIAIS LTDA,22000000,1317166986.0,730,-0.725105,93,ALTO,2025-06-02,2026-04-01 03:30:38.886382
272/2025,CONSTRUÇÃO DE UMA EEM NO MUNICÍPIO DE ICAPUÍ - CE,CONSTRUTORA MORAIS VASCONCELOS LTDA,22000000,1288231706.0,730,-0.724564,93,ALTO,2025-07-03,2026-04-01 03:30:38.886382
22/2025,LIMPEZA E CONSERVAÇÃO - LICEU ESTADUAL ALFREDO ALMEIDA MACHADO - QUIXERAMOBIM - CREDE 12 -,FRANCISCO ANTONIO VICTOR FERREIRA JUNIOR,22000000,13000.0,9131,-0.724415,93,ALTO,2025-09-03,2026-04-01 03:30:38.886382
187/2025,CONSTRUÇÃO DE UMA EEM NO MUNICÍPIO DE EUSÉBIO - CE.,CONSTRUTORA VETOR LTDA - EPP,22000000,1262739117.0,730,-0.724074,93,ALTO,2025-04-25,2026-04-01 03:30:38.886382
208/2025,"O objeto do presente instrumento é a execução da obra de CONSTRUÇÃO DE UMA
ESCOLA DE ENSINO MÉDIO URBANO, TIPO II, COM 12 SALAS DE AULA, NO MUNICÍPIO DE BATURITÉ - CE, nas condições estabelecidas neste contrato, nas Especificações Técnicas do
edital e na proposta do CONTRATADO.",CONSORCIO BATURITE,22000000,1265234711.0,730,-0.723829,93,ALTO,2025-04-29,2026-04-01 03:30:38.886382
660/2024,CONSTRUÇÃO DE UMA EEM DIVA CABRAL NO MUNICÍPIO DE FORTALEZA - CE,FORTEKS ENGENHARIA E SERVICOS ESPECIAIS LTDA,22000000,1267502777.0,730,-0.723829,93,ALTO,2025-07-03,2026-04-01 03:30:38.886382
26/2025,"Aquisição de expansão de solução de hiperconvergência, em conjunto com os respectivos serviços de implantação, instalação, configuração, integração, suporte técnico, transferência de conhecimento e assistência técnica/manutenção preventiva.",CLM SOFTWARE COMERCIO IMPORTACAO E EXPORTACAO LTDA,46000000,61400500.0,1826,-0.723813,93,ALTO,2025-10-29,2026-04-01 03:30:38.886382
11/2025,"Contratação de empresa concessionária de serviço público de energia elétrica, visando ao fornecimento contínuo de energia para a manutenção das atividades da Escola de Gestão Pública do Estado do Ceará ¿ EGPCE",COELCE,46100003,8365716.0,3652,-0.723682,93,ALTO,2025-11-21,2026-04-01 03:30:38.886382
011/2025,"Contratação de empresa especializada para prestação de serviços comuns de intermediação, administração e gerenciamento informatizados, utilizando a tecnologia de cartão eletrônico ou micro-processado, para o fornecimento de combustíveis, em rede de postos credenciados, com vistas ao atendimento das necessidades operacionais da Secretaria da Proteção Animal - SEPA.",LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI-EPP,70000000,46102459.0,1826,-0.723162,92,ALTO,2025-08-13,2026-04-01 03:30:38.886382
252/2025,SERVIÇOS DE FORNECIMENTO DE ENERGIA ELÉTRICA PARA ATENDER AS NECESSIDADES DA FUNECE,COMPANHIA ENERGETICA DO CEARA COELCE,31200001,30514357.0,1826,-0.722536,92,ALTO,2025-04-03,2026-04-01 03:30:38.886382
29/2025,"Aquisição de servidores hiperconvergentes, com assistência técnica de 60 (sessenta) meses.",CLEAR TECNOLOGIA DA INFORMACAO S.A.,46000000,31490940.0,1826,-0.722292,92,ALTO,2025-11-04,2026-04-01 03:30:38.886382
189/2025,Construção de ESCOLA DE ENSINO MÉDIO URBANA TIPO I -12 salas no município de MULUNGU - SEDE. CT 189/2025.,CONSTRUTORA ASTRAL LTDA,22000000,1246088775.0,730,-0.722117,92,ALTO,2025-04-28,2026-04-01 03:30:38.886382
1113/2025,"Aquisição de equipo de transfusão de sangue, visando garantir a segurança dos pacientes atendidos pelo HEMOCE, tanto no ambulatório de transfusão como nos hospitais atendidos pela Hemorrede.",CEI COMÉRCIO EXPORTAÇÃO E IMPORTAÇÃO DE MATERIAL MÉDICO LTDA,24200424,21700000.0,1826,-0.722021,92,ALTO,2025-09-23,2026-04-01 03:30:38.886382
140/2025,CONSTRUÇÃO DE UMA EEM NO MUNICÍPIO DE ITATIRA (CACHOEIRA) - CE. CT 140/2025.,CONSORCIO BORGES CARNEIRO E CGL ITATIRA,22000000,1180868825.0,730,-0.721629,92,ALTO,2025-04-11,2026-04-01 03:30:38.886382
150/2025,Fornecimento de energia elétrica de Alta Tensão para atendimento à Secretaria da Proteção Social e suas unidades vinculadas.,COMPANHIA ENERGETICA DO CEARA COELCE,47000000,25000000.0,1826,-0.72161,92,ALTO,2025-04-14,2026-04-01 03:30:38.886382
204/2025,EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO E PAVIMENTAÇÃO DE VIAS DE TRÂNSITO URBANO E RODOVIÁRIO COM O OBJETIVO DE PROMOVER A SEGURANÇA DE VEÍCULOS E PEDESTRES NO ESTADO DO CEARÁ - PROGRAMA SINALIZE - DISTRITO OPERACIONAL - SANTA QUITÉRIA - CE., A T L CONSTRUÇÕES E SERVIÇOS EIRELI - ME,43200007,1553339405.0,539,-0.721501,92,ALTO,2025-12-22,2026-04-01 03:30:38.886382
292/2025,"O objeto do presente instrumento é a execução da obra de CONSTRUÇÃO DE UMA ESCOLA DE
ENSINO MÉDIO, URBANA, TIPO II, COM 12 (DOZE) SALAS DE AULA, NO MUNICÍPIO DE CANINDÉ -
CE , nas condições estabelecidas neste contrato, nas Especificações Técnicas do edital e na proposta do
CONTRATADO. EMPRESAFORTEKS ENGENHARIA
E SERVIÇOS ESPECIAIS LTDA.",FORTEKS ENGENHARIA E SERVICOS ESPECIAIS LTDA,22000000,1188644523.0,730,-0.721385,92,ALTO,2025-07-25,2026-04-01 03:30:38.886382
